id,title,price_usd,category,rating
1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",109.95,Men'S Clothing,"{'rate': 3.9, 'count': 120}"
2,Mens Casual Premium Slim Fit T-Shirts ,22.3,Men'S Clothing,"{'rate': 4.1, 'count': 259}"
3,Mens Cotton Jacket,55.99,Men'S Clothing,"{'rate': 4.7, 'count': 500}"
4,Mens Casual Slim Fit,15.99,Men'S Clothing,"{'rate': 2.1, 'count': 430}"
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,695.0,Jewelery,"{'rate': 4.6, 'count': 400}"
6,Solid Gold Petite Micropave ,168.0,Jewelery,"{'rate': 3.9, 'count': 70}"
7,White Gold Plated Princess,9.99,Jewelery,"{'rate': 3, 'count': 400}"
8,Pierced Owl Rose Gold Plated Stainless Steel Double,10.99,Jewelery,"{'rate': 1.9, 'count': 100}"
9,WD 2TB Elements Portable External Hard Drive - USB 3.0 ,64.0,Electronics,"{'rate': 3.3, 'count': 203}"
10,SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s,109.0,Electronics,"{'rate': 2.9, 'count': 470}"
11,Silicon Power 256GB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5,109.0,Electronics,"{'rate': 4.8, 'count': 319}"
12,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,114.0,Electronics,"{'rate': 4.8, 'count': 400}"
13,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin,599.0,Electronics,"{'rate': 2.9, 'count': 250}"
14,Samsung 49-Inch CHG90 144Hz Curved Gaming Monitor (LC49HG90DMNXZA) â€“ Super Ultrawide Screen QLED ,999.99,Electronics,"{'rate': 2.2, 'count': 140}"
15,BIYLACLESEN Women's 3-in-1 Snowboard Jacket Winter Coats,56.99,Women'S Clothing,"{'rate': 2.6, 'count': 235}"
16,Lock and Love Women's Removable Hooded Faux Leather Moto Biker Jacket,29.95,Women'S Clothing,"{'rate': 2.9, 'count': 340}"
17,Rain Jacket Women Windbreaker Striped Climbing Raincoats,39.99,Women'S Clothing,"{'rate': 3.8, 'count': 679}"
18,MBJ Women's Solid Short Sleeve Boat Neck V ,9.85,Women'S Clothing,"{'rate': 4.7, 'count': 130}"
19,Opna Women's Short Sleeve Moisture,7.95,Women'S Clothing,"{'rate': 4.5, 'count': 146}"
20,DANVOUY Womens T Shirt Casual Cotton Short,12.99,Women'S Clothing,"{'rate': 3.6, 'count': 145}"
